iter	Passed	Remaining
408	5126	7408
409	5138	7395
410	5149	7379
411	5158	7362
412	5170	7349
413	5182	7335
414	5193	7321
415	5205	7307
416	5218	7295
417	5227	7279
418	5239	7265
419	5250	7250
420	5259	7233
421	5271	7219
422	5282	7205
423	5293	7191
424	5305	7177
425	5317	7165
426	5329	7151
427	5338	7134
428	5348	7118
429	5359	7104
430	5371	7092
431	5382	7076
432	5392	7061
433	5403	7047
434	5416	7035
435	5428	7022
436	5441	7010
437	5452	6996
438	5464	6982
439	5473	6966
440	5484	6952
441	5496	6938
442	5507	6924
443	5518	6910
444	5531	6898
445	5542	6884
446	5551	6868
447	5564	6855
448	5575	6842
449	5586	6828
450	5596	6812
451	5607	6799
452	5619	6785
453	5631	6773
454	5642	6759
455	5653	6744
456	5664	6730
457	5675	6716
458	5685	6701
459	5698	6689
460	5709	6675
461	5719	6660
462	5731	6648
463	5742	6633
464	5755	6621
465	5767	6608
466	5778	6595
467	5790	6582
468	5801	6567
469	5813	6555
470	5825	6543
471	5836	6529
472	5848	6516
473	5860	6503
474	5871	6489
475	5881	6474
476	5891	6459
477	5900	6443
478	5912	6430
479	5924	6418
480	5936	6405
481	5947	6391
482	5959	6378
483	5970	6365
484	5982	6353
485	5993	6339
486	6004	6324
487	6015	6310
488	6025	6296
489	6034	6280
490	6043	6265
491	6055	6252
492	6067	6240
493	6077	6225
494	6088	6211
495	6099	6198
496	6110	6184
497	6123	6173
498	6133	6158
499	6143	6143
500	6153	6129
501	6165	6116
502	6177	6104
503	6189	6090
504	6198	6076
505	6210	6063
506	6220	6048
507	6230	6034
508	6239	6018
509	6250	6005
510	6261	5992
511	6273	5979
512	6285	5967
513	6295	5952
514	6307	5939
515	6318	5926
516	6328	5912
517	6339	5899
518	6350	5885
519	6361	5872
520	6372	5859
521	6384	5846
522	6396	5834
523	6409	5822
524	6420	5809
525	6433	5797
526	6445	5784
527	6456	5771
528	6468	5759
529	6478	5745
530	6489	5731
531	6500	5718
532	6509	5703
533	6520	5690
534	6531	5677
535	6540	5661
536	6551	5649
537	6564	5636
538	6575	5623
539	6587	5611
540	6599	5599
541	6611	5587
542	6623	5574
543	6634	5560
544	6644	5547
545	6655	5534
546	6666	5521
547	6678	5508
548	6691	5497
549	6701	5483
550	6711	5469
551	6723	5456
552	6732	5442
553	6744	5429
554	6754	5416
555	6767	5404
556	6779	5391
557	6791	5379
558	6802	5366
559	6815	5354
560	6828	5343
561	6839	5330
562	6854	5320
563	6868	5310
564	6881	5297
565	6890	5283
566	6902	5271
567	6916	5260
568	6926	5246
569	6934	5231
570	6946	5218
571	6958	5206
572	6970	5194
573	6981	5181
574	6991	5167
575	7001	5153
576	7010	5139
577	7019	5124
578	7030	5112
579	7041	5098
580	7049	5083
581	7060	5070
582	7071	5057
583	7081	5044
584	7091	5030
585	7099	5015
586	7109	5001
587	7119	4988
588	7130	4975
589	7141	4962
590	7150	4948
591	7160	4934
592	7170	4921
593	7181	4908
594	7191	4894
595	7200	4880
596	7211	4868
597	7221	4854
598	7229	4839
599	7242	4828
600	7253	4815
601	7263	4802
602	7276	4790
603	7287	4777
604	7297	4764
605	7307	4750
606	7318	4738
607	7328	4724
608	7337	4710
609	7346	4697
610	7355	4683
611	7363	4668
612	7375	4656
613	7386	4643
614	7398	4631
615	7407	4617
616	7419	4605
617	7429	4592
618	7439	4578
619	7451	4566
620	7462	4554
621	7474	4542
622	7486	4530
623	7498	4518
624	7509	4505
625	7521	4493
626	7532	4480
627	7540	4466
628	7550	4453
629	7563	4441
630	7574	4429
631	7586	4417
632	7598	4405
633	7610	4393
634	7620	4380
635	7629	4366
636	7641	4354
637	7653	4342
638	7665	4330
639	7676	4318
640	7688	4305
641	7698	4292
642	7710	4281
643	7721	4268
644	7732	4255
645	7743	4243
646	7754	4230
647	7764	4217
648	7775	4205
649	7785	4192
650	7794	4178
651	7807	4167
652	7820	4155
653	7830	4142
654	7839	4129
655	7852	4117
656	7864	4105
657	7875	4093
658	7884	4079
659	7893	4066
660	7906	4054
661	7917	4042
662	7929	4030
663	7940	4018
664	7951	4005
665	7961	3992
666	7973	3980
667	7983	3967
668	7994	3955
669	8007	3944
670	8020	3932
671	8030	3919
672	8040	3906
673	8051	3894
674	8060	3881
675	8070	3868
676	8080	3855
677	8095	3844
678	8105	3832
679	8114	3818
680	8124	3805
681	8133	3792
682	8142	3779
683	8150	3765
684	8157	3751
685	8166	3738
686	8175	3724
687	8183	3711
688	8191	3697
689	8199	3683
690	8208	3670
691	8215	3656
692	8224	3643
693	8231	3629
694	8238	3615
695	8245	3601
696	8251	3587
697	8260	3573
698	8268	3560
699	8275	3546
700	8283	3533
701	8292	3520
702	8299	3506
703	8306	3492
704	8313	3478
705	8321	3465
706	8328	3451
707	8336	3438
708	8344	3424
709	8351	3411
710	8359	3397
711	8366	3384
712	8377	3372
713	8385	3359
714	8394	3346
715	8403	3333
716	8411	3320
717	8420	3307
718	8429	3294
719	8437	3281
720	8446	3268
721	8455	3255
722	8463	3242
723	8473	3230
724	8483	3217
725	8493	3205
726	8503	3193
727	8510	3179
728	8519	3167
729	8528	3154
730	8536	3141
731	8544	3128
732	8551	3114
733	8560	3102
734	8572	3090
735	8582	3078
736	8594	3067
737	8605	3055
738	8614	3042
739	8625	3030
740	8634	3018
741	8644	3005
742	8654	2993
743	8666	2982
744	8677	2970
745	8688	2958
746	8698	2946
747	8710	2934
748	8720	2922
749	8731	2910
750	8741	2898
751	8752	2886
752	8762	2874
753	8774	2862
754	8785	2850
755	8794	2838
756	8806	2826
757	8818	2815
758	8829	2803
759	8838	2791
760	8849	2779
761	8859	2767
762	8869	2755
763	8880	2743
764	8889	2730
765	8898	2718
766	8909	2706
767	8921	2695
768	8933	2683
769	8941	2670
770	8952	2659
771	8963	2647
772	8974	2635
773	8984	2623
774	8992	2610
775	9015	2602
776	9026	2590
777	9036	2578
778	9048	2567
779	9061	2555
780	9071	2543
781	9082	2532
782	9094	2520
783	9105	2508
784	9117	2497
785	9128	2485
786	9141	2474
787	9154	2462
788	9164	2450
789	9174	2438
790	9186	2427
791	9197	2415
792	9209	2404
793	9219	2392
794	9232	2380
795	9243	2369
796	9253	2356
797	9264	2345
798	9277	2333
799	9286	2321
800	9300	2310
801	9312	2299
802	9324	2287
803	9336	2276
804	9348	2264
805	9360	2253
806	9371	2241
807	9383	2229
808	9393	2217
809	9403	2205
810	9415	2194
811	9426	2182
812	9435	2170
813	9446	2158
814	9457	2146
815	9469	2135
816	9479	2123
817	9490	2111
818	9502	2099
819	9515	2088
820	9527	2077
821	9539	2065
822	9550	2053
823	9563	2042
824	9574	2031
825	9586	2019
826	9597	2007
827	9606	1995
828	9617	1983
829	9629	1972
830	9642	1960
831	9652	1949
832	9664	1937
833	9675	1925
834	9686	1914
835	9699	1902
836	9712	1891
837	9724	1879
838	9736	1868
839	9749	1856
840	9761	1845
841	9773	1833
842	9784	1822
843	9794	1810
844	9805	1798
845	9817	1787
846	9828	1775
847	9841	1764
848	9852	1752
849	9863	1740
850	9874	1728
851	9885	1717
852	9897	1705
853	9909	1694
854	9918	1682
855	9931	1670
856	9943	1659
857	9956	1647
858	9965	1635
859	9977	1624
860	9989	1612
861	10001	1601
862	10012	1589
863	10022	1577
864	10033	1565
865	10046	1554
866	10058	1542
867	10068	1531
868	10079	1519
869	10091	1507
870	10102	1496
871	10114	1484
872	10125	1473
873	10140	1461
874	10152	1450
875	10164	1438
876	10176	1427
877	10186	1415
878	10197	1403
879	10208	1392
880	10220	1380
881	10231	1368
882	10242	1357
883	10254	1345
884	10265	1333
885	10275	1322
886	10287	1310
887	10296	1298
888	10308	1287
889	10322	1275
890	10336	1264
891	10348	1252
892	10359	1241
893	10371	1229
894	10381	1217
895	10392	1206
896	10404	1194
897	10415	1183
898	10426	1171
899	10438	1159
900	10449	1148
901	10461	1136
902	10474	1125
903	10485	1113
904	10494	1101
905	10507	1090
906	10519	1078
907	10532	1067
908	10543	1055
909	10555	1043
910	10567	1032
911	10578	1020
912	10588	1008
913	10600	997
914	10611	985
915	10623	974
916	10633	962
917	10645	950
918	10658	939
919	10670	927
920	10682	916
921	10693	904
922	10702	892
923	10713	881
924	10726	869
925	10735	857
926	10746	846
927	10757	834
928	10770	823
929	10780	811
930	10792	799
931	10804	788
932	10814	776
933	10825	764
934	10837	753
935	10850	741
936	10862	730
937	10873	718
938	10885	707
939	10897	695
940	10908	683
941	10919	672
942	10930	660
943	10941	649
944	10951	637
945	10964	625
946	10975	614
947	10985	602
948	10995	590
949	11006	579
950	11017	567
951	11028	556
952	11040	544
953	11052	532
954	11064	521
955	11075	509
956	11088	498
957	11100	486
958	11111	475
959	11123	463
960	11136	451
961	11148	440
962	11159	428
963	11172	417
964	11186	405
965	11198	394
966	11208	382
967	11219	370
968	11229	359
969	11240	347
970	11254	336
971	11265	324
972	11278	312
973	11289	301
974	11299	289
975	11310	278
976	11322	266
977	11332	254
978	11343	243
979	11353	231
980	11362	220
981	11375	208
982	11388	196
983	11400	185
984	11412	173
985	11423	162
986	11433	150
987	11444	139
988	11456	127
989	11469	115
990	11482	104
991	11494	92
992	11504	81
993	11516	69
994	11528	57
995	11541	46
996	11552	34
997	11563	23
998	11574	11
999	11584	0
