iter	Logloss
0	0.6588617321
1	0.6286161588
2	0.601460276
3	0.5754789938
4	0.5526973935
5	0.5333295757
6	0.5148762968
7	0.4994716729
8	0.4840351427
9	0.4688921868
10	0.4557210073
11	0.4436433686
12	0.4324614189
13	0.4225026112
14	0.4129821203
15	0.4049713107
16	0.3981846917
17	0.390999901
18	0.3845765933
19	0.3787064944
20	0.3728036287
21	0.3682527475
22	0.3637069878
23	0.3593331424
24	0.3547665378
25	0.3507156047
26	0.3476711216
27	0.3446448983
28	0.341793554
29	0.3392444524
30	0.3365553994
31	0.3338343173
32	0.3312621747
33	0.3286002644
34	0.3259627569
35	0.3240587604
36	0.3222072711
37	0.3203483363
38	0.3187469089
39	0.3173499208
40	0.3154028088
41	0.3141048359
42	0.3122181406
43	0.310460273
44	0.3091793209
45	0.3083113347
46	0.3068394664
47	0.3054305421
48	0.304065446
49	0.3026922192
50	0.3015430248
51	0.3003930505
52	0.2994092727
53	0.2981075456
54	0.2971467036
55	0.2959309343
56	0.2948234628
57	0.2938211843
58	0.2928327621
59	0.2920968972
60	0.2913305709
61	0.2906406766
62	0.2899510429
63	0.289411394
64	0.2886507476
65	0.2878022182
66	0.2866575081
67	0.2858716631
68	0.2852198367
69	0.2844089459
70	0.2838494224
71	0.2834031658
72	0.282826297
73	0.2821946983
74	0.2816853316
75	0.280855894
76	0.2804240088
77	0.2799177377
78	0.2792095977
79	0.2786232372
80	0.2780143244
81	0.2774084983
82	0.2768057805
83	0.27638023
84	0.2759956825
85	0.275553929
86	0.275008122
87	0.274501312
88	0.2740376974
89	0.2735048117
90	0.2729207983
91	0.2725505918
92	0.2719032494
93	0.2713682338
94	0.2709372221
95	0.2705617115
96	0.2700924495
97	0.2697063757
98	0.2694491248
99	0.2690952444
100	0.2685558497
101	0.2679873106
102	0.2676640781
103	0.2674277839
104	0.2667625814
105	0.2663575172
106	0.2658727476
107	0.2654093815
108	0.2650434097
109	0.264618221
110	0.2642035934
111	0.2638790652
112	0.263557278
113	0.263292676
114	0.2627888542
115	0.2623905421
116	0.2617669637
117	0.2614106803
118	0.260937404
119	0.2606438184
120	0.2603550797
121	0.2601234075
122	0.2598500907
123	0.259416335
124	0.2590240392
125	0.2586516056
126	0.2583748732
127	0.258028516
128	0.2576694823
129	0.2574172978
130	0.2571548966
131	0.2568969006
132	0.2563123
133	0.2559845661
134	0.2556576118
135	0.2553593528
136	0.255008943
137	0.2546453869
138	0.2543006563
139	0.2538651651
140	0.2534383299
141	0.2532044756
142	0.2527878915
143	0.2525952318
144	0.2521974304
145	0.2520512956
146	0.2517554397
147	0.251477488
148	0.2511377202
149	0.2509287133
150	0.2506518412
151	0.2503523111
152	0.250093003
153	0.2498996955
154	0.2496395337
155	0.2493582376
156	0.2490067268
157	0.2487941256
158	0.2485332638
159	0.2482468493
160	0.2479432509
161	0.247688765
162	0.247472995
163	0.2472023144
164	0.2467219457
165	0.2463239117
166	0.2461347384
167	0.2457950668
168	0.2455892476
169	0.2453840659
170	0.2451540939
171	0.2448109251
172	0.2444371668
173	0.2440965922
174	0.2438340069
175	0.243688614
176	0.2435402391
177	0.2431813944
178	0.2427310772
179	0.242501406
180	0.2423147985
181	0.2421445638
182	0.2418937588
183	0.2416783295
184	0.2414664241
185	0.2412281334
186	0.2409359671
187	0.2405308169
188	0.2402173546
189	0.240023545
190	0.2397511431
191	0.2395479311
192	0.2391506464
193	0.2387884844
194	0.2385744432
195	0.2383665559
196	0.2381520232
197	0.2380453144
198	0.2378265738
199	0.2375592105
200	0.2373342308
201	0.2370606028
202	0.2367831802
203	0.2365478118
204	0.2363234851
205	0.2361104777
206	0.2357769881
207	0.2356808427
208	0.2355110595
209	0.2352389923
210	0.2349413514
211	0.2348023202
212	0.2346331595
213	0.234485902
214	0.2343879181
215	0.2341605257
216	0.2339539236
217	0.2336927222
218	0.2335160746
219	0.2333637714
220	0.2332023118
221	0.2329703392
222	0.2328740324
223	0.2325606393
224	0.2324032271
225	0.2321844712
226	0.2320156108
227	0.2318159454
228	0.2315996516
229	0.2313505782
230	0.2310619222
231	0.2309051668
232	0.230711015
233	0.2304551584
234	0.2302630046
235	0.2300124613
236	0.2298580465
237	0.2296464998
238	0.2294253412
239	0.2292272906
240	0.2290600832
241	0.228862704
242	0.2286235787
243	0.228448853
244	0.2283323617
245	0.2281566791
246	0.2279718864
247	0.2276853189
248	0.2274695713
249	0.2273036425
250	0.2271296762
251	0.226988338
252	0.226825073
253	0.2266191955
254	0.2265062968
255	0.226381469
256	0.2259861819
257	0.2257987207
258	0.2256824994
259	0.2254121451
260	0.2252386412
261	0.2249921668
262	0.2248960346
263	0.2245683611
264	0.224291153
265	0.2240589657
266	0.2236837901
267	0.2233928995
268	0.2232492401
269	0.222987622
270	0.2227033095
271	0.2224842036
272	0.2221935582
273	0.2219250073
274	0.221681575
275	0.2214703194
276	0.2212629543
277	0.2210514102
278	0.2209275642
279	0.220713733
280	0.2205996499
281	0.2202518933
282	0.220141114
283	0.2199734398
284	0.2196967935
285	0.2195401365
286	0.2193200608
287	0.2191601571
288	0.2190250738
289	0.2188341554
290	0.2185967474
291	0.218507451
292	0.2182459935
293	0.2179457529
294	0.2176861478
295	0.2174391822
296	0.2172453368
297	0.2171363946
298	0.2169077078
299	0.2166937093
300	0.2165909979
301	0.2163547673
302	0.2161643414
303	0.2158485512
304	0.2156872308
305	0.2155196754
306	0.2152302893
307	0.2150469781
308	0.2148668514
309	0.214647253
310	0.2144380319
311	0.2142488596
312	0.2141269104
313	0.2139398225
314	0.2138024759
315	0.213595001
316	0.2134750569
317	0.2130803136
318	0.212886017
319	0.2127028128
320	0.2124961752
321	0.2122094723
322	0.2120902457
323	0.211930976
324	0.2118389018
325	0.2116051167
326	0.2114310665
327	0.2112935654
328	0.2111467945
329	0.2109885724
330	0.2107192704
331	0.2105691613
332	0.2104126094
333	0.210238031
334	0.2099218962
335	0.2096140022
336	0.2094721387
337	0.2093123145
338	0.2090970153
339	0.2087549439
340	0.2086184276
341	0.2084173957
342	0.2082930233
343	0.207982975
344	0.207752211
345	0.2075788838
346	0.2073088476
347	0.2070069753
348	0.2068075507
349	0.2065987301
350	0.2064104956
351	0.2062407251
352	0.2060877389
353	0.2058804569
354	0.2056350513
355	0.2054882715
356	0.2053824594
357	0.2051726506
358	0.2049860189
359	0.2048224745
360	0.2046372078
361	0.204506858
362	0.2042997435
363	0.2041571658
364	0.204003729
365	0.2038747596
366	0.2037749123
367	0.2035869949
368	0.203388472
369	0.2032516028
370	0.203108683
371	0.2029862079
372	0.2028216546
373	0.2026756932
374	0.2023600983
375	0.2022446519
376	0.2020034068
377	0.2017507546
378	0.2015863138
379	0.201313311
380	0.2011209818
381	0.2009564136
382	0.200745546
383	0.2005531985
384	0.2003988912
385	0.2001719342
386	0.1999301951
387	0.1997222677
388	0.1994747362
389	0.199332245
390	0.1992084918
391	0.1990083715
392	0.1988612986
393	0.1986420386
394	0.198416317
395	0.1982019009
396	0.1979992769
397	0.1978949697
398	0.1978077413
399	0.1976412441
400	0.1974570879
401	0.1972724888
402	0.1970795124
403	0.1968865882
404	0.1966371502
405	0.1964428566
406	0.196319234
407	0.1960869517
408	0.1959208987
409	0.1957431169
410	0.1956165728
411	0.1954074344
412	0.1952697067
413	0.1950837768
414	0.1949190979
415	0.1947359543
416	0.1945775578
417	0.1943404197
418	0.194226744
419	0.1940274744
420	0.1938496613
421	0.1936669455
422	0.1935262434
423	0.1933715518
424	0.1932609476
425	0.1931604568
426	0.193007533
427	0.1929078268
428	0.1927728314
429	0.1926140979
430	0.1925083493
431	0.1923738551
432	0.1920312123
433	0.1918261139
434	0.1916966168
435	0.191610757
436	0.1914341899
437	0.1912831736
438	0.1911625615
439	0.1910246905
440	0.1907776959
441	0.1906653032
442	0.1905231727
443	0.1904102768
444	0.1902788553
445	0.1901842856
446	0.190060254
447	0.1899864599
448	0.1898294857
449	0.1896709209
450	0.189535446
451	0.18934552
452	0.189246461
453	0.1889652023
454	0.1887839404
455	0.1886151846
456	0.18851007
457	0.1883319253
458	0.1882102179
459	0.1880973839
460	0.1879853494
461	0.1878354442
462	0.1876852961
463	0.187528212
464	0.1874025835
465	0.1872287233
466	0.187128462
467	0.1870313478
468	0.1868688773
469	0.1867119577
470	0.1865918131
471	0.1863434235
472	0.1861541533
473	0.1860206171
474	0.1858744891
475	0.1857332015
476	0.1855651459
477	0.1854624612
478	0.1853363869
479	0.1851990956
480	0.1850917937
481	0.185013629
482	0.1847911261
483	0.1846447765
484	0.1844620288
485	0.1843249576
486	0.1841752846
487	0.1840698734
488	0.183968266
489	0.1837667835
490	0.1836839795
491	0.1835733757
492	0.1833970569
493	0.1832524915
494	0.183079569
495	0.1829692317
496	0.1828396688
497	0.1827091874
498	0.1825512884
499	0.1824242339
500	0.1822628142
501	0.1821355556
502	0.1820245602
503	0.1818933524
504	0.1817184859
505	0.1815759601
506	0.1814370992
507	0.1813076459
508	0.1811978074
509	0.1810988519
510	0.1809831405
511	0.1808736755
512	0.1807521295
513	0.1806362752
514	0.1804836186
515	0.1803173797
516	0.1801723142
517	0.1800699447
518	0.1798887075
519	0.1797446325
520	0.1796662545
521	0.1795543525
522	0.1792663738
523	0.1791335086
524	0.1790224895
525	0.1789315263
526	0.1788094753
527	0.178713104
528	0.1785673589
529	0.1783535786
530	0.1782532647
531	0.1781583364
532	0.1780580299
533	0.1779637954
534	0.1778053024
535	0.177702031
536	0.1775753192
537	0.1773901117
538	0.1773257163
539	0.1771749068
540	0.1771196216
541	0.1769191815
542	0.1768366051
543	0.1767119971
544	0.1766047973
545	0.1764718715
546	0.176368092
547	0.1761665109
548	0.1760539307
549	0.1759091627
550	0.1757946587
551	0.1756430175
552	0.1755279922
553	0.1754711193
554	0.175396162
555	0.1752694615
556	0.1751448555
557	0.17502968
558	0.1749356986
559	0.1748649787
560	0.1747446821
561	0.1746178005
562	0.1745041368
563	0.1744025115
564	0.1743005465
565	0.17414124
566	0.1740405631
567	0.1739531117
568	0.1738178862
569	0.1736982442
570	0.1735667073
571	0.1734745127
572	0.1733552408
573	0.1732187982
574	0.1731048027
575	0.1729220144
576	0.1728287429
577	0.1727257422
578	0.1726084646
579	0.1725344562
580	0.1722818869
581	0.1721217153
582	0.1720312253
583	0.1719332839
584	0.1718541999
585	0.1717526121
586	0.1716490881
587	0.171514687
588	0.1713856926
589	0.171262586
590	0.1711574505
591	0.1709072256
592	0.1707414157
593	0.1705695766
594	0.1704399631
595	0.1703405646
596	0.1702130395
597	0.1701051006
598	0.169954715
599	0.1697970256
600	0.1696578066
601	0.1695061626
602	0.1694288078
603	0.1693375279
604	0.1691623455
605	0.1691043493
606	0.1689716797
607	0.1688715893
608	0.1687775355
609	0.168677047
610	0.1685720747
611	0.1683714282
612	0.1682480437
613	0.1681492378
614	0.1680293339
615	0.1679440815
616	0.1678467793
617	0.1677716691
618	0.1677036354
619	0.1676061758
620	0.1674507792
621	0.1673154065
622	0.1671898756
623	0.1669954821
624	0.1669136753
625	0.1668213405
626	0.1667316562
627	0.1665890666
628	0.1665238628
629	0.1664542177
630	0.1663000017
631	0.1662020339
632	0.1660993456
633	0.1659537176
634	0.1658537591
635	0.1657327711
636	0.1655959654
637	0.1655127981
638	0.1654265081
639	0.1653361761
640	0.1652550134
641	0.1651601037
642	0.1650280459
643	0.1649276904
644	0.1648339395
645	0.1647339667
646	0.1646706032
647	0.16454861
648	0.1644492808
649	0.1643304062
650	0.1642285211
651	0.1640992687
652	0.1639925121
653	0.1638937785
654	0.163801353
655	0.1636600415
656	0.1635955206
657	0.1634509635
658	0.1633473073
659	0.1633030344
660	0.1631645445
661	0.1630230619
662	0.1629359663
663	0.1628499931
664	0.1627930412
665	0.1627095542
666	0.1625796026
667	0.162505802
668	0.1623984432
669	0.162322293
670	0.162183519
671	0.1621176934
672	0.1619081022
673	0.1618028929
674	0.1616617382
675	0.1615907373
676	0.161505398
677	0.1614236783
678	0.1612963602
679	0.1612128378
680	0.1610824577
681	0.1610100833
682	0.1609040209
683	0.1608110042
684	0.1607061668
685	0.1605791223
686	0.1604821129
687	0.1604037994
688	0.1602919004
689	0.16015787
690	0.1600517721
691	0.1599272661
692	0.1598687094
693	0.1598022604
694	0.1597033404
695	0.1596222294
696	0.1595498931
697	0.1594644905
698	0.1593706824
699	0.1592433733
700	0.1591391674
701	0.1590063807
702	0.1589368818
703	0.1588691112
704	0.1587707538
705	0.1586945426
706	0.1585931405
707	0.1585330274
708	0.1584012469
709	0.1583584859
710	0.1582903955
711	0.1582040605
712	0.1581429822
713	0.1580443974
714	0.1579795376
715	0.1578462069
716	0.157742761
717	0.157634228
718	0.1575478747
719	0.1574533456
720	0.1574090398
721	0.1573055546
722	0.1572368583
723	0.1571452442
724	0.157093148
725	0.1570115739
726	0.1568785767
727	0.1567489358
728	0.1566637923
729	0.1565698192
730	0.1564841259
731	0.1563140777
732	0.1562755018
733	0.1561647758
734	0.156107707
735	0.1560300432
736	0.1559316125
737	0.1558747391
738	0.1557700696
739	0.1556535811
740	0.1555587072
741	0.1554975117
742	0.1554115824
743	0.1552838679
744	0.1552287263
745	0.1551528635
746	0.155017115
747	0.1549362495
748	0.154869276
749	0.154780278
750	0.1546909044
751	0.154615156
752	0.1545188895
753	0.1543355195
754	0.1542974548
755	0.1542156034
756	0.1541663898
757	0.154064978
758	0.1539737288
759	0.1539075007
760	0.153848304
761	0.1537071482
762	0.1535101175
763	0.1534306129
764	0.1533450384
765	0.1532829294
766	0.1532004124
767	0.1530780517
